# Residuals   
# Time        	p             	Ux            	Uy            
43            	1.188385e-02	5.921312e-04	3.789029e-04
43.1          	1.192957e-02	5.827017e-04	3.759227e-04
43.2          	1.175730e-02	5.879314e-04	3.752465e-04
43.3          	1.178506e-02	5.774037e-04	3.725962e-04
43.4          	1.162187e-02	5.826412e-04	3.716987e-04
43.5          	1.120135e-02	5.718823e-04	3.689425e-04
43.6          	1.086297e-02	5.759590e-04	3.682755e-04
43.7          	1.080360e-02	5.673156e-04	3.653167e-04
43.8          	1.043818e-02	5.714056e-04	3.657291e-04
43.9          	1.043999e-02	5.613525e-04	3.607359e-04
44            	9.957209e-03	5.650536e-04	3.620679e-04
44.1          	9.927446e-03	5.567729e-04	3.582730e-04
44.2          	9.604481e-03	5.595676e-04	3.578871e-04
44.3          	9.630123e-03	5.513878e-04	3.546809e-04
44.4          	9.322523e-03	5.543208e-04	3.542517e-04
44.5          	9.358831e-03	5.461346e-04	3.512445e-04
44.6          	9.066222e-03	5.489690e-04	3.508223e-04
44.7          	9.107242e-03	5.409527e-04	3.479065e-04
44.8          	8.825654e-03	5.436467e-04	3.474945e-04
44.9          	8.869084e-03	5.358192e-04	3.446415e-04
45            	8.595885e-03	5.383660e-04	3.442306e-04
45.1          	8.640349e-03	5.307262e-04	3.414356e-04
45.2          	8.374238e-03	5.331315e-04	3.410175e-04
45.3          	8.418503e-03	5.257023e-04	3.382759e-04
45.4          	8.139498e-03	5.273093e-04	3.376666e-04
45.5          	8.174753e-03	5.207422e-04	3.353778e-04
45.6          	7.936453e-03	5.224834e-04	3.346443e-04
45.7          	7.613683e-03	5.157617e-04	3.321574e-04
45.8          	6.948729e-03	5.178101e-04	3.304755e-04
45.9          	6.681949e-03	5.102300e-04	3.287899e-04
46            	5.747346e-03	5.118060e-04	3.265428e-04
46.1          	5.152722e-03	5.073124e-04	3.245483e-04
46.2          	4.513015e-03	5.052880e-04	3.222408e-04
46.3          	4.048871e-03	5.017656e-04	3.205223e-04
46.4          	3.570549e-03	4.995173e-04	3.183310e-04
46.5          	3.234273e-03	4.963014e-04	3.167584e-04
46.6          	2.860672e-03	4.936297e-04	3.148837e-04
